heavy metal,ppm,R,G,B,dR,dG,dB,ED,,X,Y,Z,dX,dY,dZ,L,a,b,deltaE,deltaL,deltaa,deltab,Group,ppm
Ag,0,131.861,95.935,58.19,0,0,0,0,,14.44025608,13.55665915,5.883687248,0,0,0,43.59029675,9.943023875,27.12946665,0,0,0,0,Ag-Zn,0ppm
Ag,5,136.706,94.618,61.06,4.845,-1.317,2.87,5.783201017,,15.17103864,13.74803922,6.277052016,0.730782568,0.191380074,0.393364768,43.86940059,13.16677259,25.96182805,3.440034108,0.27910384,3.22374872,-1.1676386,Ag-Zn,5ppm
Ag,10,126.128,82.181,58.739,-5.733,-13.754,0.549,14.91111015,,12.43740271,10.82135527,5.535110382,-2.002853367,-2.73530388,-0.348576866,39.27794308,15.57711855,21.21808298,9.234926856,-4.312353677,5.634094674,-5.91138368,Ag-Zn,10ppm
Ag,15,128.38,81.226,61.364,-3.481,-14.709,3.174,15.44494474,,12.77148939,10.87915286,5.892793709,-1.668766688,-2.677506291,0.009106461,39.37618279,17.40649269,19.82476339,11.26147472,-4.214113962,7.463468813,-7.304703261,Ag-Zn,15ppm
Ag,20,120.267,71.581,60.989,-11.594,-24.354,2.799,27.11775347,,10.91581035,8.930680261,5.561316171,-3.524445722,-4.625978887,-0.322371077,35.85048657,19.54546232,15.19193576,17.1643855,-7.739810185,9.602438444,-11.9375309,Ag-Zn,20ppm
Ag,25,113.088,67.442,60.402,-18.773,-28.493,2.212,34.19312097,,9.681705949,7.914949441,5.347837828,-4.758550128,-5.641709707,-0.53584942,33.80512536,18.83399655,12.62735689,19.62422385,-9.785171391,8.890972676,-14.50210976,Ag-Zn,25ppm
Ag,30,113.95,65.982,60.877,-17.911,-29.953,2.687,35.00294415,,9.719612447,7.804828305,5.391209871,-4.72064363,-5.751830843,-0.492477377,33.57306529,20.13861188,12.02977956,20.7917169,-10.01723147,10.19558801,-15.0996871,Ag-Zn,30ppm
Ag,35,114.424,68.027,66.368,-17.437,-27.908,8.178,33.90848149,,10.05820229,8.141944418,6.252067561,-4.382053782,-5.41471473,0.368380313,34.27676978,19.78951866,9.525453004,22.21703267,-9.313526978,9.846494781,-17.60401365,Ag-Zn,35ppm
Ag,40,116.288,70.878,68.171,-15.573,-25.057,9.981,31.14469359,,10.53538559,8.644026497,6.608703226,-3.90487049,-4.912632651,0.725015978,35.28968349,19.10590042,9.831784594,21.26189765,-8.30061326,9.162876541,-17.29768206,Ag-Zn,40ppm
Cd,0,133.186,102.345,70.187,0,0,0,0,,15.59963782,15.01788146,7.901238786,0,0,0,45.65867861,7.984819781,22.88713567,0,0,0,0,Cd-Mn,0ppm
Cd,5,143.933,102.534,62.652,10.747,0.189,-7.535,13.12668865,,17.1823715,15.88757572,6.81247432,1.582733684,0.869694259,-1.088764466,46.82664477,11.9122651,28.92342971,7.295602606,1.167966162,3.927445318,6.036294038,Cd-Mn,5ppm
Cd,10,139.793,97.138,60.066,6.607,-5.207,-10.121,13.16054478,,15.88608525,14.46055918,6.23771318,0.286447433,-0.557322284,-1.663525606,44.88631426,12.97942705,27.8768669,7.102117027,-0.77236435,4.99460727,4.989731235,Cd-Mn,10ppm
Cd,15,133.511,87.801,53.179,0.325,-14.544,-17.008,22.380921,,13.87476582,12.23492342,5.019928085,-1.724871999,-2.782958039,-2.881310701,41.5870822,15.0484321,27.57321609,9.403821885,-4.071596414,7.063612316,4.686080424,Cd-Mn,15ppm
Cd,20,131.574,89.593,56.544,-1.612,-12.752,-13.643,18.74415901,,13.79914691,12.40707263,5.478766518,-1.800490905,-2.610808837,-2.422472268,41.85591469,13.41051947,25.9151113,7.284769523,-3.802763928,5.425699687,3.027975631,Cd-Mn,20ppm
Cd,25,136.395,92.554,58.062,3.209,-9.791,-12.125,15.91153629,,14.85910844,13.32530996,5.799884465,-0.740529374,-1.6925715,-2.101354321,43.24937351,13.96754207,26.90237466,7.597358832,-2.409305102,5.982722289,4.015238992,Cd-Mn,25ppm
Cd,30,141.113,95.418,62.15,7.927,-6.927,-8.037,13.24439606,,16.00824677,14.28328297,6.491928424,0.408608953,-0.734598491,-1.409310362,44.63648286,14.7604647,26.41265218,7.706070002,-1.022195755,6.775644919,3.525516508,Cd-Mn,30ppm
Cd,35,133.68,88.358,54.585,0.494,-13.987,-15.602,20.95954697,,13.98031581,12.35348127,5.209920236,-1.619322009,-2.664400191,-2.69131855,41.77249313,14.91515213,26.99932545,8.946622206,-3.886185481,6.930332352,4.11218978,Cd-Mn,35ppm
Cd,40,125.048,76.151,44.974,-8.138,-26.194,-25.213,37.25651687,,11.53328807,9.743647657,3.752798806,-4.066349751,-5.274233808,-4.14843998,37.37835424,17.45871699,26.944524,13.22047276,-8.28032437,9.473897208,4.057388327,Cd-Mn,40ppm
Co,0,121.603,90.818,47.29566667,0,0,0,0,,12.21521784,11.76821204,4.348262954,0,0,0,40.84533334,7.300456301,29.64712048,0,0,0,0,Co,0ppm
Co,5,100.635,73.275,50.502,-20.968,-17.543,3.206333333,27.52625013,,8.313681035,7.782169483,4.138301093,-3.901536804,-3.986042558,-0.20996186,33.52504561,8.47989227,18.14445477,13.68535715,-7.320287734,1.179435969,-11.50266571,Co,5ppm
Co,10,100.178,77.766,49.029,-21.425,-13.052,1.733333333,25.14736116,,8.538372643,8.357561958,4.071783233,-3.676845196,-3.410650083,-0.27647972,34.71672376,5.32512744,20.56130457,11.13614971,-6.128609586,-1.97532886,-9.08581591,Co,10ppm
Co,15,105.103,82.606,52.716,-16.5,-8.212,5.420333333,19.21111547,,9.537461824,9.390859376,4.643585789,-2.677756015,-2.377352665,0.295322835,36.72619542,5.077704312,21.03127244,9.805139519,-4.11913792,-2.222751989,-8.615848036,Co,15ppm
Co,20,104.457,73.677,50.483,-17.146,-17.141,3.187333333,24.4531857,,8.776010727,8.060112432,4.165434136,-3.439207112,-3.708099609,-0.182828818,34.10776391,10.00844604,19.00249926,12.88549616,-6.737569431,2.70798974,-10.64462122,Co,20ppm
Co,25,102.938,78.284,50.338,-18.665,-12.534,3.042333333,22.68786401,,8.914443899,8.60288032,4.246347148,-3.30077394,-3.165331721,-0.101915805,35.20817318,6.447368577,20.46620328,10.80715383,-5.637160159,-0.853087724,-9.180917198,Co,25ppm
Co,30,106.607,81.539,54.394,-14.996,-9.279,7.098333333,19.00963422,,9.674439636,9.337414498,4.830747069,-2.540778203,-2.430797543,0.482484116,36.62598067,6.616704541,19.93203477,10.61382795,-4.219352669,-0.68375176,-9.715085709,Co,30ppm
Co,35,98.14,72.318,63.083,-23.463,-18.5,15.78733333,33.79352398,,8.289849947,7.640686246,5.751984942,-3.925367892,-4.127525796,1.403721989,33.22307921,9.569196187,9.823393789,21.3594494,-7.622254137,2.268739887,-19.82372669,Co,35ppm
Co,40,105.8433333,79.96433333,54.467,-15.75966667,-10.85366667,7.171333333,20.43519502,,9.468567368,9.058002512,4.796727276,-2.746650471,-2.710209529,0.448464322,36.09573081,7.234416853,19.1844076,11.49049373,-4.749602529,-0.066039447,-10.46271287,Co,40ppm
Cr,0,157.086,121.227,73.085,0,0,0,0,,21.99285309,21.3902805,9.287175276,0,0,0,53.37401275,7.935923953,31.57216092,0,0,0,0,Cr,0ppm
Cr,5,70.368,76.175,63.14,-86.718,-45.052,-9.945,98.22727347,,6.049918639,6.869278146,5.729375053,-15.94293445,-14.52100236,-3.557800223,31.50744671,-5.136779262,6.963863415,35.42048258,-21.86656604,-13.07270321,-24.60829751,Cr,5ppm
Cr,10,75.225,77.151,59.64,-81.861,-44.076,-13.445,93.9397952,,6.38980331,7.156353714,5.269067181,-15.60304978,-14.23392679,-4.018108094,32.16023402,-4.279888932,10.15272967,32.52756566,-21.21377873,-12.21581288,-21.41943125,Cr,10ppm
Cr,15,70.552,79.798,63.447,-86.534,-41.429,-9.638,96.42295495,,6.329281642,7.394345574,5.861214911,-15.66357145,-13.99593493,-3.425960365,32.68829545,-7.199935012,8.429300975,34.53382535,-20.6857173,-15.13585896,-23.14285995,Cr,15ppm
Cr,20,55.128,71.291,62.025,-101.958,-49.936,-11.06,114.0673549,,4.724311374,5.707356802,5.412807788,-17.26854172,-15.6829237,-3.874367488,28.66181112,-8.669206397,3.464159063,40.94487797,-24.71220163,-16.60513035,-28.10800186,Cr,20ppm
Cr,25,63.941,81.942,75.662,-93.145,-39.285,2.577,101.1234057,,6.41586132,7.630758616,7.909483312,-15.57699177,-13.75952189,-1.377691964,33.20175127,-8.493195654,1.380669698,39.85426259,-20.17226148,-16.42911961,-30.19149122,Cr,25ppm
Cr,30,72.437,90.77,83.62,-84.649,-30.457,10.535,90.57631189,,8.011595787,9.4713952,9.714029405,-13.9812573,-11.9188853,0.426854129,36.87649286,-8.687486172,1.799518925,37.88028694,-16.49751989,-16.62341013,-29.772642,Cr,30ppm
Cr,35,64.625,90.064,81.435,-92.461,-31.163,8.35,97.92799186,,7.31789608,9.034504027,9.227022901,-14.67495701,-12.35577648,-0.060152375,36.05064248,-11.64717844,1.894765384,39.55179974,-17.32337028,-19.58310239,-29.67739554,Cr,35ppm
Cr,40,66.263,90.991,78.398,-90.823,-30.236,5.313,95.87106443,,7.393886642,9.203532788,8.668157297,-14.59896645,-12.18674771,-0.619017979,36.37324829,-12.30398297,4.261643437,38.00715972,-17.00076446,-20.23990692,-27.31051749,Cr,40ppm
Cu,0,129.965,95.702,47.861,0,0,0,0,,13.88771793,13.26777574,4.610200965,0,0,0,43.16397751,8.333364613,32.29875621,0,0,0,0,Cu,0ppm
Cu,5,100.792,82.459,54.45,-29.173,-13.243,6.589,32.70865175,,9.07235738,9.129789638,4.829321514,-4.815360555,-4.137986105,0.219120548,36.2329931,3.363599795,19.26143528,15.57911564,-6.930984411,-4.969764818,-13.03732092,Cu,5ppm
Cu,10,93.063,77.488,54.075,-36.902,-18.214,6.214,41.61876014,,7.876558627,7.974144152,4.622824853,-6.011159308,-5.293631591,0.012623888,33.92897878,2.778616049,16.31277649,19.27931484,-9.234998731,-5.554748564,-15.98597971,Cu,10ppm
Cu,15,87.103,70.886,51.79,-42.862,-24.816,3.929,49.68321589,,6.801387059,6.769543202,4.171803112,-7.086330876,-6.498232542,-0.438397853,31.27640495,3.804394742,14.08651668,22.21512139,-11.88757257,-4.528969871,-18.21223953,Cu,15ppm
Cu,20,82.057,68.042,52.064,-47.908,-27.66,4.203,55.47898046,,6.175697216,6.184485475,4.124128957,-7.712020719,-7.083290268,-0.486072008,29.87321521,3.281334355,11.92504462,24.84462711,-13.2907623,-5.052030258,-20.37371159,Cu,20ppm
Cu,25,75.64,62.134,47.768,-54.325,-33.568,-0.093,63.85941511,,5.210715995,5.193342415,3.498643272,-8.67700194,-8.074433328,-1.111557693,27.27864369,3.39699421,11.03503267,26.99736139,-15.88533383,-4.936370402,-21.26372354,Cu,25ppm
Cu,30,84.727,68.738,51.862,-45.238,-26.964,4.001,52.81611441,,6.450495404,6.389602394,4.125418767,-7.437222531,-6.878173349,-0.484782198,30.37485883,4.057355956,12.78294607,23.72156513,-12.78911868,-4.276008657,-19.51581014,Cu,30ppm
Cu,35,82.758,67.477,49.816,-47.207,-28.225,1.955,55.03611086,,6.153504444,6.128251925,3.854966593,-7.734213491,-7.139523818,-0.755234372,29.73375484,3.641385954,13.17880749,23.83186908,-13.43022268,-4.691978659,-19.11994871,Cu,35ppm
Cu,40,84.959,69.334,52.313,-45.006,-26.368,4.452,52.35104358,,6.518377449,6.47788064,4.192229845,-7.369340486,-6.789895103,-0.41797112,30.58745323,3.853927547,12.78880264,23.64048662,-12.57652428,-4.479437066,-19.50995356,Cu,40ppm
Hg,0,156.1183333,108.915,59.13366667,0,0,0,0,,19.98691727,18.31762612,6.638008212,0,0,0,49.87910939,13.36860041,34.86996167,0,0,0,0,Hg,0ppm
Hg,5,146.119,90.984,52.079,-9.999333333,-17.931,-7.054666667,21.70888643,,16.23771895,13.85149904,5.075921385,-3.749198326,-4.466127084,-1.562086827,44.01920629,18.73426572,31.50087808,8.630153692,-5.859903094,5.365665311,-3.369083593,Hg,5ppm
Hg,10,149.464,96.049,59.779,-6.654333333,-12.866,0.645333333,14.49932975,,17.47752831,15.13342665,6.24409311,-2.509388965,-3.184199472,-0.393915102,45.81640547,17.87638839,29.4541956,8.133648486,-4.062703917,4.507787975,-5.415766072,Hg,10ppm
Hg,15,146.135,87.003,61.451,-9.983333333,-21.912,2.317333333,24.19034357,,16.1421218,13.28357713,6.191781389,-3.844795474,-5.034048987,-0.446226824,43.1874555,21.77386869,25.13750891,14.49646175,-6.691653885,8.40526828,-9.732452766,Hg,15ppm
Hg,20,146.18,88.082,68.951,-9.938333333,-20.833,9.817333333,25.08314957,,16.45622251,13.55096783,7.370014879,-3.530694767,-4.766658289,0.732006666,43.58195658,21.85787308,21.2196638,17.26419752,-6.297152812,8.48927267,-13.65029788,Hg,20ppm
